4.2.64.2.64.2.6,"Sơn bảo vệ bê tông chống thấm, chống ăn mòn (acrylic, epoxy, polyurea, bitum, polyurethane và các loại khác)Sơn bảo vệ bê tông chống thấm, chống ăn mòn (acrylic, epoxy, polyurea, bitum, polyurethane và các loại khác)Sơn bảo vệ bê tông chống thấm, chống ăn mòn (acrylic, epoxy, polyurea, bitum, polyurethane và các loại khác)"
4.2.74.2.74.2.7,"Sơn phản quang, phát quangSơn phản quang, phát quangSơn phản quang, phát quang"
4.2.84.2.84.2.8,Sơn vạch đường giao thông nhựa nhiệt dẻoSơn vạch đường giao thông nhựa nhiệt dẻoSơn vạch đường giao thông nhựa nhiệt dẻo
4.2.94.2.94.2.9,"Sơn vạch đường giao thông hệ dung môi, hệ nướcSơn vạch đường giao thông hệ dung môi, hệ nướcSơn vạch đường giao thông hệ dung môi, hệ nước"
4.2.104.2.104.2.10,"Sợi gia cường (aramid, carbon, xenlulo, polyvinyl alcohol, polyetylen, polypropylen và các loại khác)Sợi gia cường (aramid, carbon, xenlulo, polyvinyl alcohol, polyetylen, polypropylen và các loại khác)Sợi gia cường (aramid, carbon, xenlulo, polyvinyl alcohol, polyetylen, polypropylen và các loại khác)"
4.2.114.2.114.2.11,Keo dán (polyvinyl acetat và các chủng loại khác)Keo dán (polyvinyl acetat và các chủng loại khác)Keo dán (polyvinyl acetat và các chủng loại khác)
4.2.124.2.124.2.12,"Keo trám, keo bơm (silicon, polyurethane, polysulfit, epoxy và các chủng loại khác)Keo trám, keo bơm (silicon, polyurethane, polysulfit, epoxy và các chủng loại khác)Keo trám, keo bơm (silicon, polyurethane, polysulfit, epoxy và các chủng loại khác)"
4.2.134.2.134.2.13,"Tấm xốp cách nhiệt (polystyrene, polyurethane và các loại khác)Tấm xốp cách nhiệt (polystyrene, polyurethane và các loại khác)Tấm xốp cách nhiệt (polystyrene, polyurethane và các loại khác)"
4.2.144.2.144.2.14,Thanh định hình (profile) polyvinyl clorua không hóa dẻo (PVC-U) dùng để chế tạo cửa sổ và cửa điThanh định hình (profile) polyvinyl clorua không hóa dẻo (PVC-U) dùng để chế tạo cửa sổ và cửa điThanh định hình (profile) polyvinyl clorua không hóa dẻo (PVC-U) dùng để chế tạo cửa sổ và cửa đi
4.2.154.2.154.2.15,"Ống và phụ tùng (phụ kiện ghép nối) bằng chất dẻo dùng cho cấp, thoát nướcỐng và phụ tùng (phụ kiện ghép nối) bằng chất dẻo dùng cho cấp, thoát nướcỐng và phụ tùng (phụ kiện ghép nối) bằng chất dẻo dùng cho cấp, thoát nước"
4.2.15.14.2.15.14.2.15.1,"Bằng PE dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suấtBằng PE dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suấtBằng PE dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất"
4.2.15.24.2.15.24.2.15.2,"Bằng PP dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suấtBằng PP dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suấtBằng PP dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất"
4.2.15.34.2.15.34.2.15.3,"Bằng PVC dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suấtBằng PVC dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suấtBằng PVC dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất"
4.2.15.44.2.15.44.2.15.4,Bằng nhựa nhiệt rắn gia cường bằng sợi thủy tinh (GRP) trên cơ sở nhựa polyeste không no (UP)Bằng nhựa nhiệt rắn gia cường bằng sợi thủy tinh (GRP) trên cơ sở nhựa polyeste không no (UP)Bằng nhựa nhiệt rắn gia cường bằng sợi thủy tinh (GRP) trên cơ sở nhựa polyeste không no (UP)
4.2.164.2.164.2.16,Vải địa kỹ thuậtVải địa kỹ thuậtVải địa kỹ thuật
4.2.174.2.174.2.17,Bấc thấmBấc thấmBấc thấm
4.2.184.2.184.2.18,Các vật liệu xây dựng khác từ hợp chất hữu cơCác vật liệu xây dựng khác từ hợp chất hữu cơCác vật liệu xây dựng khác từ hợp chất hữu cơ
4.34.34.3,"Vật liệu tái chế, tái sử dụng và phụ phẩm công nghiệp dùng làm vật liệu xây dựngVật liệu tái chế, tái sử dụng và phụ phẩm công nghiệp dùng làm vật liệu xây dựngVật liệu tái chế, tái sử dụng và phụ phẩm công nghiệp dùng làm vật liệu xây dựng"
