"Tỉnh, thành phố trực thuộc Trung ương",TP/Huyện/Thị xã (hoặc tương đương),Sông,Thời gian bắt đầu
Lào Cai,"Bảo Thắng, Bắc Hà, Bát Xát, TP. Sa Pa",-,23-26/7/2008
Lào Cai,"Bát Xát, TP. Sa Pa, Bảo Thắng, Bảo Yên",-,9/8/2008
Lào Cai,"Bảo Thắng, Mường Khương, Bát Xát, TP. Sa Pa",-,5/8/2016
Lào Cai,"Bắc Hà, Mường Khương, Bảo Yên, Si Ma Cai",-,16/8/2017
Lào Cai,Bảo Yên,-,15/5/1992
Lào Cai,Bảo Yên,-,7/7/1998
Lào Cai,Bảo Yên,-,1/8/2007
Lào Cai,Bảo Yên,-,4/8/2008
Lào Cai,Bảo Yên,-,5/9/2010
Lào Cai,Bảo Yên,-,25/7/2012
Lào Cai,Bảo Yên,-,11/5/2013
Lào Cai,Bảo Yên,-,11/5/2014
Lào Cai,Bát Xát,-,17/5/2007
Lào Cai,Bát Xát,-,
Lào Cai,Bát Xát,-,7/7/1998
Lào Cai,Bát Xát,Hồng,14/6/1974
Lào Cai,Bát Xát,-,16/7/1994
Lào Cai,Bát Xát,-,2/8/1996
Lào Cai,Bát Xát,-,24/7/1996
Lào Cai,Bát Xát,-,30/5/2008
Lào Cai,Bát Xát,-,9/8/2008
Lào Cai,Bát Xát,-,2/8/2010
Lào Cai,Bát Xát,-,26/8/2017
Lào Cai,Mường Khương,-,3/7/1995
Lào Cai,Mường Khương,-,7/7/1998
Lào Cai,Mường Khương,Nậm Mu,1/8/2002
Lào Cai,TP. Sa Pa,-,15/7/2000
Lào Cai,TP. Sa Pa,-,7/7/1998
Lào Cai,TP. Sa Pa,-,24/7/1998
Lào Cai,TP. Sa Pa,Ngòi Bo,18/8/1993
Lào Cai,TP. Sa Pa,-,23/7/2008
Lào Cai,TP. Sa Pa,-,8/8/2008
Lào Cai,TP. Sa Pa,-,4/8/2010
Lào Cai,TP. Sa Pa,-,4/9/2013
Lào Cai,TP. Sa Pa,-,17/7/2017
Lào Cai,Than Uyên,-,25/6/1998
Lào Cai,Than Uyên,-,17/3/1997
Lào Cai,Than Uyên,Nậm Mu,1/8/2002
Lào Cai,Than Uyên,-,13/6/2002
Lào Cai,Than Uyên,-,15/8/1996
Lào Cai,TP. Lào Cai,-,7/7/1998
Lào Cai,TP. Lào Cai,-,31/8/2008
Lào Cai,TP. Lào Cai,-,7/7/1998
Lào Cai,TP. Lào Cai,-,10/9/2007
Lào Cai,TP. Lào Cai,-,12/5/2011
Lào Cai,TP. Lào Cai,-,22-23/7/2011
Lào Cai,TP. Lào Cai,-,8/9/2011
Lào Cai,TP. Lào Cai,-,12/5/2012
Lào Cai,TP. Lào Cai,-,26/9/2012
Lào Cai,TP. Lào Cai,-,22/4/2013
Lào Cai,TP. Lào Cai,-,22/4/2014
Lào Cai,Si Ma Cai,-,25/74/8/2015
Lào Cai,Văn Bàn,Nậm Mạ,4/10/2007
Lào Cai,Văn Bàn,Ngòi Nhù,23/7/2003
Lào Cai,Văn Bàn,-,7/7/1998
Lào Cai,Văn Bàn,-,2/8/1996
Lào Cai,Văn Bàn,-,24/7/1996
Lào Cai,Văn Bàn,-,12/8/2011
Lào Cai,Văn Bàn,-,19-20/8/2016
Nghệ An,Quế Phong,-,5/10/2007
Nghệ An,Tương Dương,-,26/5/2009
Nghệ An,Tương Dương,-,20/6/2010
Nghệ An,Tương Dương,-,22/9/2014
Nghệ An,"Tương Dương, Kỳ Sơn",-,25-26/6/2011
Nghệ An,Kỳ Sơn,-,22/7/2011
Nghệ An,Kỳ Sơn,-,24/8/2011
Nghệ An,Kỳ Sơn,-,23/6/2013
Nghệ An,Kỳ Sơn,-,21/7/2017
